Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
-0.629	1.1	0.002	0.008
-0.631	1.1	0.002	0.008
-0.638	1.067	0.002	0.008
-0.644	1.1	0.002	0.008
-0.649	1.1	0.002	0.008
-0.656	1.1	0.002	0.008
-0.661	1.1	0.002	0.008
-0.663	1.1	0.002	0.008
-0.668	1.1	0.002	0.008
-0.669	1.1	0.002	0.008
-0.675	1.1	0.002	0.008
-0.683	1.1	0.002	0.008
-0.686	1.1	0.002	0.008
-0.689	1.1	0.002	0.008
-0.697	1.1	0.002	0.008
-0.698	1.1	0.002	0.008
-0.7	1.1	0.002	0.008
-0.711	1.1	0.002	0.008
-0.713	1.1	0.002	0.008
-0.722	1.1	0.002	0.008
-0.723	1.1	0.002	0.008
-0.727	1.1	0.002	0.008
-0.727	1.1	0.002	0.008
-0.736	1.133	0.002	0.008
-0.744	1.1	0.002	0.008
-0.751	1.1	0.002	0.008
-0.758	1.1	0.002	0.008
-0.758	1.1	0.002	0.008
-0.761	1.133	0.002	0.008
-0.767	1.1	0.002	0.008
-0.773	1.1	0.002	0.008
-0.782	1.133	0.002	0.008
-0.782	1.1	0.002	0.008
-0.791	1.1	0.002	0.008
-0.798	1.133	0.002	0.008
-0.799	1.1	0.002	0.008
-0.812	1.1	0.002	0.008
-0.818	1.133	0.002	0.008
-0.825	1.1	0.002	0.008
-0.835	1.133	0.002	0.008
-0.841	1.1	0.002	0.008
-0.85	1.133	0.002	0.008
-0.859	1.1	0.002	0.008
-0.866	1.133	0.002	0.008
-0.875	1.1	0.002	0.008
-0.883	1.133	0.002	0.008
-0.893	1.133	0.002	0.008
-0.897	1.1	0.002	0.008
-0.909	1.133	0.002	0.008
-0.92	1.133	0.002	0.008
-0.922	1.133	0.002	0.008
-0.935	1.133	0.002	0.008
-0.943	1.1	0.002	0.008
-0.951	1.133	0.002	0.008
-0.96	1.133	0.002	0.008
-0.968	1.133	0.002	0.008
-0.979	1.133	0.002	0.008
-0.986	1.133	0.002	0.008
-0.997	1.133	0.002	0.008
-1.005	1.133	0.002	0.008
-1.013	1.167	0.002	0.008
-1.022	1.133	0.002	0.008
-1.037	1.133	0.002	0.008
-1.051	1.167	0.002	0.008
-1.056	1.133	0.002	0.008
-1.071	1.133	0.002	0.008
-1.082	1.167	0.002	0.008
-1.091	1.167	0.002	0.008
-1.1	1.133	0.002	0.008
-1.116	1.167	0.002	0.008
-1.134	1.167	0.002	0.008
-1.145	1.167	0.002	0.008
-1.166	1.133	0.002	0.008
-1.186	1.167	0.002	0.008
-1.212	1.2	0.002	0.008
-1.225	1.167	0.002	0.008
-1.247	1.167	0.002	0.008
-1.255	1.167	0.002	0.008
-1.283	1.2	0.002	0.008
-1.301	1.167	0.002	0.008
-1.314	1.2	0.002	0.008
-1.343	1.2	0.002	0.008
-1.367	1.2	0.002	0.008
-1.375	1.2	0.002	0.008
-1.43	1.2	0.002	0.008
-1.461	1.233	0.002	0.008
