t (seconds)	θ (degrees)	uncertainty t (type b)	uncertainty θ (type b, based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-1 degree)
16.83333	-72.5195	0.01	1
16.86667	-71.37699	0.01	1
16.9	-68.25553	0.01	1
16.93333	-62.90301	0.01	1
16.96667	-55.96227	0.01	1
17	-47.83684	0.01	1
17.03333	-34.98529	0.01	1
17.06667	-25.93246	0.01	1
17.1	-10.68217	0.01	1
17.13333	1.374367	0.01	1
17.16667	16.89234	0.01	1
17.2	29.3566	0.01	1
17.23333	40.29605	0.01	1
17.26667	50.52629	0.01	1
17.3	59.5057	0.01	1
17.33333	66.53256	0.01	1
17.36667	71.35867	0.01	1
17.4	72.00238	0.01	1
17.43333	72.70732	0.01	1
17.46667	71.71846	0.01	1
17.5	69.23026	0.01	1
17.53333	63.84115	0.01	1
17.56667	56.6443	0.01	1
17.6	47.86834	0.01	1
17.63333	37.64618	0.01	1
17.66667	25.16465	0.01	1
17.7	16.21675	0.01	1
17.73333	2.471114	0.01	1
17.76667	-10.96528	0.01	1
17.8	-23.61988	0.01	1
17.83333	-33.44229	0.01	1
17.86667	-40.61849	0.01	1
17.9	-50.40426	0.01	1
17.93333	-57.86502	0.01	1
17.96667	-65.3038	0.01	1
18	-69.36772	0.01	1
18.03333	-71.66759	0.01	1
18.06667	-71.69794	0.01	1
18.1	-69.78349	0.01	1
18.13333	-66.38186	0.01	1
18.16667	-60.48869	0.01	1
18.2	-53.05431	0.01	1
18.23333	-44.01353	0.01	1
18.26667	-32.70296	0.01	1
18.3	-22.83383	0.01	1
18.33333	-8.22997	0.01	1
18.36667	6.443013	0.01	1
18.4	19.25739	0.01	1
18.43333	31.74798	0.01	1
18.46667	42.57475	0.01	1
18.5	52.62263	0.01	1
18.53333	60.7299	0.01	1
18.56667	67.52735	0.01	1
18.6	71.87884	0.01	1
18.63333	72.76399	0.01	1
18.66667	73.20727	0.01	1
18.7	71.2482	0.01	1
18.73333	67.91669	0.01	1
18.76667	61.22103	0.01	1
18.8	53.42066	0.01	1
18.83333	43.59532	0.01	1
18.86667	32.85013	0.01	1
18.9	21.51536	0.01	1
18.93333	9.007614	0.01	1
18.96667	-5.101344	0.01	1
19	-16.01614	0.01	1
19.03333	-27.18991	0.01	1
19.06667	-39.68204	0.01	1
19.1	-49.31279	0.01	1
19.13333	-56.8816	0.01	1
19.16667	-62.97097	0.01	1
19.2	-67.3766	0.01	1
19.23333	-69.88281	0.01	1
19.26667	-70.35328	0.01	1
19.3	-68.99983	0.01	1
19.33333	-67.40371	0.01	1
19.36667	-62.95235	0.01	1
19.4	-57.15861	0.01	1
19.43333	-48.79193	0.01	1
19.46667	-39.45595	0.01	1
19.5	-26.4007	0.01	1
19.53333	-16.72489	0.01	1
19.56667	-2.577233	0.01	1
19.6	10.68919	0.01	1
19.63333	22.44185	0.01	1
19.66667	33.92279	0.01	1
19.7	44.69357	0.01	1
19.73333	54.27202	0.01	1
19.76667	62.43239	0.01	1
19.8	68.23013	0.01	1
19.83333	72.01626	0.01	1
19.86667	71.15673	0.01	1
19.9	69.44813	0.01	1
19.93333	64.665	0.01	1
19.96667	58.51899	0.01	1
20	51.68657	0.01	1
20.06667	38.98893	0.01	1
20.1	27.43953	0.01	1
20.13333	13.64215	0.01	1
20.16667	2.983313	0.01	1
20.2	-8.144792	0.01	1
20.23333	-20.6077	0.01	1
20.26667	-32.78335	0.01	1
20.3	-43.45523	0.01	1
20.33333	-51.46061	0.01	1
20.36667	-58.71697	0.01	1
20.4	-63.99436	0.01	1
20.43333	-68.63596	0.01	1
20.46667	-70.33186	0.01	1
20.5	-70.30429	0.01	1
20.53333	-68.13869	0.01	1
20.56667	-64.0065	0.01	1
20.6	-58.61965	0.01	1
20.63333	-51.6847	0.01	1
20.66667	-38.58613	0.01	1
20.7	-30.83304	0.01	1
20.73333	-16.72489	0.01	1
20.76667	-3.85457	0.01	1
20.8	9.465289	0.01	1
20.83333	22.76548	0.01	1
20.86667	34.35284	0.01	1
20.9	44.02201	0.01	1
